Vd Vg Vs Vb Lg Ids qd  
0.23 0.0606060606061 0 0 1e-06 1.30073712453e-10 -1.70446481026e-07
0.34 0.0606060606061 0 0 1e-06 1.30091602984e-10 -2.43833908845e-09
0.45 0.0606060606061 0 0 1e-06 1.30091858918e-10 -3.48819023688e-11
0.56 0.0606060606061 0 0 1e-06 1.3009186258e-10 -4.99006524004e-13
0.67 0.0606060606061 0 0 1e-06 1.30091862632e-10 -7.13858746479e-15
0.78 0.0606060606061 0 0 1e-06 1.30091862633e-10 -1.02121773046e-16
0.89 0.0606060606061 0 0 1e-06 1.30091862633e-10 -1.46091318225e-18
1.0 0.0606060606061 0 0 1e-06 1.30091862633e-10 -2.08992388442e-20
0.01 0.0808080808081 0 0 1e-06 9.01951672605e-11 -0.00180690447563
0.12 0.0808080808081 0 0 1e-06 2.80048576346e-10 -2.59894420359e-05
0.23 0.0808080808081 0 0 1e-06 2.8277653962e-10 -3.71824561132e-07
0.34 0.0808080808081 0 0 1e-06 2.82815567351e-10 -5.31917324428e-09
0.45 0.0808080808081 0 0 1e-06 2.82816125666e-10 -7.60939619387e-11
0.56 0.0808080808081 0 0 1e-06 2.82816133653e-10 -1.0885697415e-12
0.67 0.0808080808081 0 0 1e-06 2.82816133767e-10 -1.5572642716e-14
0.78 0.0808080808081 0 0 1e-06 2.82816133769e-10 -2.22775989368e-16
0.89 0.0808080808081 0 0 1e-06 2.82816133769e-10 -3.1869440752e-18
1.0 0.0808080808081 0 0 1e-06 2.82816133769e-10 -4.55911454697e-20
0.01 0.10101010101 0 0 1e-06 1.94386746974e-10 -0.00391689177387
0.12 0.10101010101 0 0 1e-06 6.06434779914e-10 -5.66898986439e-05
0.23 0.10101010101 0 0 1e-06 6.12385298883e-10 -8.1112560042e-07
0.34 0.10101010101 0 0 1e-06 6.12470436886e-10 -1.16036379586e-08
0.45 0.10101010101 0 0 1e-06 6.12471654835e-10 -1.65996997019e-10
0.56 0.10101010101 0 0 1e-06 6.12471672259e-10 -2.3746865524e-12
0.67 0.10101010101 0 0 1e-06 6.12471672508e-10 -3.3971314683e-14
0.78 0.10101010101 0 0 1e-06 6.12471672511e-10 -4.85980021289e-16
0.89 0.10101010101 0 0 1e-06 6.12471672511e-10 -6.95223553448e-18
1.0 0.10101010101 0 0 1e-06 6.12471672511e-10 -9.94558969701e-20
0.01 0.121212121212 0 0 1e-06 4.13542263516e-10 -0.0084315803798
0.12 0.121212121212 0 0 1e-06 1.3028101913e-09 -0.000123641950499
0.23 0.121212121212 0 0 1e-06 1.31578890411e-09 -1.76943963666e-06
0.34 0.121212121212 0 0 1e-06 1.31597462952e-09 -2.53130341298e-08
0.45 0.121212121212 0 0 1e-06 1.31597728644e-09 -3.62118127605e-10
0.56 0.121212121212 0 0 1e-06 1.31597732445e-09 -5.18031689397e-12
0.67 0.121212121212 0 0 1e-06 1.315977325e-09 -7.41075386074e-14
0.78 0.121212121212 0 0 1e-06 1.315977325e-09 -1.06015276495e-15
0.89 0.121212121212 0 0 1e-06 1.31597732501e-09 -1.51661208313e-17
1.0 0.121212121212 0 0 1e-06 1.31597732501e-09 -2.1696045011e-19
0.01 0.141414141414 0 0 1e-06 8.57917689736e-10 -0.0178959082756
0.12 0.141414141414 0 0 1e-06 2.75553829516e-09 -0.00026960048357
0.23 0.141414141414 0 0 1e-06 2.78384065367e-09 -3.85996140494e-06
0.34 0.141414141414 0 0 1e-06 2.78424580666e-09 -5.52197249812e-08
0.45 0.141414141414 0 0 1e-06 2.78425160268e-09 -7.89951268367e-10
0.56 0.141414141414 0 0 1e-06 2.78425168559e-09 -1.13007264453e-11
0.67 0.141414141414 0 0 1e-06 2.78425168678e-09 -1.61663666234e-13
0.78 0.141414141414 0 0 1e-06 2.78425168679e-09 -2.31269565783e-15
0.89 0.141414141414 0 0 1e-06 2.78425168679e-09 -3.30844977745e-17
1.0 0.141414141414 0 0 1e-06 2.78425168679e-09 -4.73293573794e-19
0.01 0.161616161616 0 0 1e-06 1.70099255914e-09 -0.0369780484905
0.12 0.161616161616 0 0 1e-06 5.66425633991e-09 -0.000587553791035
0.23 0.161616161616 0 0 1e-06 5.72594828128e-09 -8.42028596079e-06
0.34 0.161616161616 0 0 1e-06 5.72683210175e-09 -1.20460392514e-07
0.45 0.161616161616 0 0 1e-06 5.72684474561e-09 -1.72325812718e-09
0.56 0.161616161616 0 0 1e-06 5.72684492648e-09 -2.46522405491e-11
0.67 0.161616161616 0 0 1e-06 5.72684492907e-09 -3.52665079307e-13
0.78 0.161616161616 0 0 1e-06 5.72684492911e-09 -5.04508537126e-15
0.89 0.161616161616 0 0 1e-06 5.72684492911e-09 -7.2172970608e-17
1.0 0.161616161616 0 0 1e-06 5.72684492911e-09 -1.03247761e-18
0.01 0.181818181818 0 0 1e-06 3.13794535424e-09 -0.0729365020891
0.12 0.181818181818 0 0 1e-06 1.11112186693e-08 -0.0012790404381
0.23 0.181818181818 0 0 1e-06 1.12455683295e-08 -1.83680672038e-05
0.34 0.181818181818 0 0 1e-06 1.12474963122e-08 -2.6278121033e-07
0.45 0.181818181818 0 0 1e-06 1.12475238944e-08 -3.75924274295e-09
0.56 0.181818181818 0 0 1e-06 1.1247524289e-08 -5.37782209872e-11
0.67 0.181818181818 0 0 1e-06 1.12475242946e-08 -7.69329689596e-13
0.78 0.181818181818 0 0 1e-06 1.12475242947e-08 -1.10057223989e-14
0.89 0.181818181818 0 0 1e-06 1.12475242947e-08 -1.57443456506e-16
1.0 0.181818181818 0 0 1e-06 1.12475242947e-08 -2.25232302778e-18
0.01 0.20202020202 0 0 1e-06 5.26684607182e-09 -0.134183379998
0.12 0.20202020202 0 0 1e-06 2.04179511817e-08 -0.00277763235302
0.23 0.20202020202 0 0 1e-06 2.07099618129e-08 -4.00667644397e-05
0.34 0.20202020202 0 0 1e-06 2.0714167426e-08 -5.73250369364e-07
0.45 0.20202020202 0 0 1e-06 2.0714227596e-08 -8.20069017956e-09
0.56 0.20202020202 0 0 1e-06 2.07142284567e-08 -1.17315789078e-10
0.67 0.20202020202 0 0 1e-06 2.0714228469e-08 -1.67827268993e-12
0.78 0.20202020202 0 0 1e-06 2.07142284692e-08 -2.40086969019e-14
0.89 0.20202020202 0 0 1e-06 2.07142284692e-08 -3.4345880165e-16
1.0 0.20202020202 0 0 1e-06 2.07142284692e-08 -4.91338405049e-18
0.01 0.222222222222 0 0 1e-06 8.05655747566e-09 -0.226609209464
0.12 0.222222222222 0 0 1e-06 3.48434054223e-08 -0.00600158280587
0.23 0.222222222222 0 0 1e-06 3.54755091929e-08 -8.73918046161e-05
0.34 0.222222222222 0 0 1e-06 3.5484682533e-08 -1.25052588958e-06
0.45 0.222222222222 0 0 1e-06 3.54848137917e-08 -1.78895921385e-08
0.56 0.222222222222 0 0 1e-06 3.54848156694e-08 -2.55921339797e-10
0.67 0.222222222222 0 0 1e-06 3.54848156963e-08 -3.6611081827e-12
0.78 0.222222222222 0 0 1e-06 3.54848156967e-08 -5.23743472742e-14
